,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Source: USCIS, data as of October 22, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D.  While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different on the petition.  The L-1A nonimmigrant classification refers to intracompany transfers of corporate managers and executives. The L-1B nonimmigrant classification refers to intracompany transfers of employees who possess “specialized knowledge.” The LZ classification refers to “blanket” L petitions and may be used by entities involved in commercial trade or services. While the term “L-1” is used for visa issuance and admission purposes, USCIS uses the “A” and “B” distinctions internally for statistical and other purposes. ",,,,,,,,,,
Employer Tax ID (Last 4 Digits) ,Employer name,Employer Industry,Total Approved Petitions,Employment Type,Class Preference,Approved Petitions by Class Preference,,,,
5679,ALPHA REALTY LLC, ,D,Continuing,L1A,D,,,,273305679
5055,INVERSIONES IGMC LLC, ,D,Continuing,L1A,D,,,,273315055
6939,BLAST MOTION INC, ,D,Initial,L1A,D,,,,273326939
9575,TST NA TRIM LLC,Motor Vehicle Parts Manufacturing,D,Continuing,L1B,D,,,,273329575
2177,MORE CORE DIAMOND DRILLING CORP, ,D,Initial,L1A,D,,,,273332177
3757,PHOENIXBIO USA CORPORATION, ,D,Continuing,L1B,D,,,,273333757
1285,SIMPLIFICARE INC, ,D,Initial,L1B,D,,,,273351285
9323,KINGTEC GROUP CO LTD, ,D,Initial,L1B,D,,,,273359323
1610,HITHINK FINANCIAL SVCS INC, ,D,Initial,L1A,D,,,,273391610
9394,THE WONDERFUL COMPANY LLC, ,D,Initial,L1A,D,,,,273429394
8571,GEIGER AUTOMOTIVE USA INC, ,D,Initial,L1A,D,,,,273438571
6981,UNDER THE MILKY WAY LLC, ,D,Initial,L1A,D,,,,273446981
8721,PELICAN FLIGHT TRAINING LLC, ,D,Continuing,L1A,D,,,,273448721
0911,TRIBE MOBILE USA INC, ,D,Initial,L1A,D,,,,273500911
2564,ERMAK USA INC, ,D,Continuing,L1B,D,,,,273512564
3153,GENTING NEW YORK LLC DBA RESORTS, ,D,Continuing,L1A,D,,,,273513153
4678,SKYTECHSPORT INC, ,D,Continuing,L1A,D,,,,273514678
8949,STERLING NYC INC, ,D,Initial,L1A,D,,,,273518949
5854,BERTIGO USA INC, ,D,Continuing,L1A,D,,,,273525854
2632,DFS CORPORATE SVCS LLC, ,D,Initial,L1B,D,,,,273572632
6256,REALTY GROUP CONSTRUCTION LLC, ,D,Continuing,L1A,D,,,,273576256
0136,HENYARD INTERNATIONAL LLC, ,D,Continuing,L1A,D,,,,273580136
7194,COGNICIAN INC, ,D,Continuing,L1A,D,,,,273597194
8345,PLANET ENERGY CORP, ,D,Initial,L1A,D,,,,273598345
0485,ENGLOSER INC, ,D,Initial,L1B,D,,,,273620485
4108,CBM INTL RESOURCES INC, ,D,Continuing,L1A,D,,,,273634108
5891,THE SHOPPING METAL USA INC, ,D,Continuing,L1A,D,,,,273655891
4831,F & B GLOBAL DISTRIBUTORS LLC, ,D,Initial,L1A,D,,,,273674831
3975,DAVIZTA INC, ,D,Initial,L1A,D,,,,273683975
0971,CENTERITY SYSTEMS INC, ,D,Continuing,L1A,D,,,,273720971
9945,SILVERLINK TECHOLOGIES LLC, ,D,Continuing,L1A,D,,,,273749945
6754,RETAIL BUSINESS SERVICES LLC, ,D,Initial,L1A,D,,,,273756754
6944,ZOTA COLLECTION INC, ,D,Continuing,L1A,D,,,,273786944
0872,CARLEX GLASS AMERICA LLC, ,D,Continuing,LZ,D,,,,273800872
1834,MAIL MEDIA INC, ,D,Continuing,L1A,D,,,,273831834
8744,ELECON USA TRANSMISSION LTD DBA, ,D,Initial,L1B,D,,,,273848744
6209,FST21 AMERICA INC, ,D,Initial,L1A,D,,,,273886209
2778,HZO INC, ,D,Initial,L1A,D,,,,273892778
4599,ELEVATOR BOUTIQUE LLC, ,D,Initial,L1B,D,,,,273894599
7741,BEWIRED USA LLC, ,D,Initial,L1A,D,,,,273907741
5150,AGILITY FUEL SYSTEMS LLC, ,D,Initial,L1B,D,,,,273945150
9023,BISTEL AMERICA INC, ,D,Initial,L1A,D,,,,273959023
0151,KACIA SVCS LTD, ,D,Continuing,L1A,D,,,,273960151
1960,CAMBRIDGE MICHIGAN LANGUAGE ASSE, ,D,Initial,L1A,D,,,,273961960
6931,AROSYS TECHNOLOGIES INC, ,D,Initial,L1A,D,,,,273996931
8939,THINKSIGN OPTOELECTRONICS INC, ,D,Continuing,L1A,D,,,,273998939
2948,NOVAMONT NORTH AMERICA INC, ,D,Initial,L1A,D,,,,274032948
4515,TRUCK-LITE CO LLC, ,D,Continuing,L1A,D,,,,274034515
5003,UNRULY MEDIA INC, ,D,Continuing,L1A,D,,,,274035003
6934,LG ELECTRONICS MIAMI INC, ,D,Continuing,L1A,D,,,,274036934
5096,EURAMERICA GAS & OIL CORPORATION, ,D,Continuing,L1A,D,,,,274045096
2598,LAYFIELD & BARRETT APC, ,D,Initial,L1A,D,,,,274052598
8664,SEKISUI DIAGNOSTICS LLC, ,D,Continuing,L1A,D,,,,274058664
9038,SERVICIOS INTEGRALES DRG INC, ,D,Continuing,L1A,D,,,,274059038
9044,DIANTHUS MIAMI INC, ,D,Continuing,L1A,D,,,,274059044
0056,SPOTXCHANGE INC, ,D,Continuing,L1A,D,,,,274100056
5249,MITSUBISHI CHEMICAL HOLDINGS AME, ,D,Continuing,LZ,D,,,,274155249
1458,ARMSCOR CARTRIDGE INC, ,D,Initial,L1A,D,,,,274171458
4494,PERFORMANCE HORIZON INC, ,D,Initial,L1A,D,,,,274194494
1669,KU L LLC, ,D,Initial,L1A,D,,,,274201669
4527,VECTOR MANAGEMENT USA CORP, ,D,Continuing,L1A,D,,,,274214527
5302,PHANTOM LOGISTICS TRANSPORTATION, ,D,Initial,L1A,D,,,,274225302
8045,SANGSIN BRAKE AMERICA INC, ,D,Initial,L1A,D,,,,274238045
7159,HILL TOP RESEARCH INC, ,D,Continuing,L1A,D,,,,274247159
1606,PMA PROJECT MANAGERS LLC, ,D,Continuing,L1A,D,,,,274261606
7883,SPARK44 LLC, ,D,Continuing,L1A,D,,,,274287883
0871,SNCF AMERICA INC, ,D,Continuing,L1A,D,,,,274320871
1295,AURIGA POLYMERS INC, ,D,Initial,L1A,D,,,,274331295
2893,I-SENS USA INC, ,D,Initial,L1A,D,,,,274332893
3059,AZURE KNOWLEDGE CORPORATION, ,D,Initial,L1A,D,,,,274343059
4200,AMS CO LTD D/B.A AMS AMERICA COR, ,D,Initial,L1B,D,,,,274344200
3474,SINOMEDIA INT'L GROUP INC, ,D,Initial,L1A,D,,,,274353474
5733,ONIT INC, ,D,Initial,L1A,D,,,,274355733
6502,TEKNATOOL USA INC, ,D,Initial,L1A,D,,,,274356502
0127,SOUTHWEST REAL ESTATE & CONS LLC, ,D,Initial,L1A,D,,,,274360127
3274,ADD ENERGY LLC, ,D,Initial,L1A,D,,,,274373274
9991,TMAX DIGITAL INC, ,D,Initial,L1A,D,,,,274389991
4382,SIXT RENT A CAR LLC, ,D,Continuing,L1A,D,,,,274394382
1978,BEST CHOICE TRUCKING LLC, ,D,Continuing,L1A,D,,,,274421978
8654,DK 2011 INC, ,D,Initial,L1A,D,,,,274468654
3663,ANOMALY PARTNERS LLC,Advertising Agencies,D,Initial,L1A,D,,,,274483663
5721,NEXWAY INC, ,D,Continuing,L1A,D,,,,274485721
9371,GUIDEBOOK INC, ,D,Initial,L1A,D,,,,274539371
1004,ALLGAIER PROCESS TECH INC, ,D,Initial,L1B,D,,,,274541004
2882,DAMICO SHIPPING USA LTD, ,D,Continuing,L1A,D,,,,274572882
4079,OSSWALD INC, ,D,Continuing,L1A,D,,,,274574079
9830,ACTIS ADVISERS INC, ,D,Continuing,L1A,D,,,,274609830
3973,GLOBAL FASTENER ENGINEERING INC, ,D,Continuing,L1A,D,,,,274613973
7527,IBIS CAPITAL GR LLC DBA NUGROWTH, ,D,Initial,L1A,D,,,,274617527
0619,NEWT GLOBAL FUTURE VENTURES LLC, ,D,Initial,L1B,D,,,,274620619
2509,GUANJIAYING FLANGE FORGING COMPA,Other Metal Valve and Pipe Fitting Manufacturing,D,Continuing,L1A,D,,,,274652509
4233,AIM DEVELOPMENT USA LLC, ,D,Initial,L1A,D,,,,274664233
6546,ABK US SERVICES INC, ,D,Continuing,L1A,D,,,,274686546
1443,WORLDLAW POWER EQUIPMENT INC D/B, ,D,Continuing,L1A,D,,,,274691443
7962,SCC ADMINISTRATION SERVICES LLC, ,D,Initial,L1A,D,,,,274707962
0208,PROLEIT CORP, ,D,Continuing,L1A,D,,,,274750208
6844,NONNIS FOODS LLC, ,D,Continuing,L1A,D,,,,274796844
5225,DIGITALROUTE AMERICAS INC, ,D,Continuing,L1A,D,,,,274945225
6736,NEOWARE INC, ,D,Continuing,L1A,D,,,,275016736
4612,KLASMANN-DEILMANN AMERICAS INC, ,D,Continuing,L1A,D,,,,275064612
0029,GRESSO LLC, ,D,Continuing,L1A,D,,,,275090029
2272,PRACTICESUITE INC, ,D,Continuing,L1A,D,,,,275092272
3114,PRISA DIGITAL INC, ,D,Continuing,L1A,D,,,,275103114
5980,OIL SPILL RESPONSE USA INC, ,D,Continuing,L1A,D,,,,275105980
9173,ONDOT SYSTEMS INC,Software Publishers,D,Continuing,L1B,D,,,,275109173
9503,NORTHSTAR FREIGHT INTL INC, ,D,Continuing,L1A,D,,,,275119503
5100,CHINA BEDS DIRECT LLC, ,D,Initial,L1A,D,,,,275135100
1302,DRAGON RACING LLC, ,D,Initial,L1B,D,,,,275261302
4507,BUREAU TRANSLATIONS INC, ,D,Initial,L1A,D,,,,275274507
2917,HARVEST MOON FASHION INC, ,D,Initial,L1A,D,,,,275322917
4072,TURKANA FOOD INC,OTHER,D,Initial,L1A,D,,,,275394072
5546,ENERCO LLC DBA JCB OF SOUTH TEXA, ,D,Continuing,L1A,D,,,,275435546
9149,PLANET LABS INC,Space Research and Technology,D,Initial,L1A,D,,,,275469149
5643,N STAR VENTURE MGT 2010 LLC DBA, ,D,Initial,L1B,D,,,,275485643
3070,PS WINES LLC, ,D,Continuing,L1A,D,,,,275493070
6313,MARINE CANADA ACQUISITION INC, ,D,Continuing,L1A,D,,,,275496313
1179,SEAI AMERICA INC, ,D,Initial,L1B,D,,,,275621179
7942,AXXOR NA LLC, ,D,Continuing,L1B,D,,,,279427942
3019,CLOUDMARK INC, ,D,Initial,LZ,D,,,,300003019
8335,HAVAS EDGE LLC, ,D,Initial,L1A,D,,,,300008335
7016,SA TECHNOLOGIES, ,D,Initial,L1A,D,,,,300027016
8523,HIMOINSA POWER SYSTEMS INC, ,D,Initial,L1A,D,,,,300028523
0122,HOME EXCHANGE INC, ,D,Initial,L1A,D,,,,300040122
8148,TWEEN BRANDS INC, ,D,Initial,L1A,D,,,,300048148
5230,ENTERTAINMENT ONE TELEVISION USA, ,D,Initial,L1A,D,,,,300065230
2243,KOLON GLOTECH U S A CORP, ,D,Continuing,L1A,D,,,,300112243
5975,HUMAN RESOURCE DEVELOPMENT SVCS, ,D,Continuing,L1A,D,,,,300205975
7630,KUM YANG USA INC, ,D,Initial,L1B,D,,,,300237630
5451,INFLECTION POINT SYSTEMS INC, ,D,Continuing,L1A,D,,,,300245451
6186,TOPGOLF USA INC, ,D,Continuing,L1A,D,,,,300256186
0605,REIFENHAUSER INC, ,D,Initial,L1B,D,,,,300260605
8688,PRIMO WATER CORPORATION, ,D,Continuing,L1A,D,,,,300278688
6504,IMPELSYS INC, ,D,Initial,L1B,D,,,,300296504
8009,JOHNSON & JOHNSON MED DEVICES &, ,D,Continuing,L1A,D,,,,300298009
9347,OWENS CORNING SCIENCE & TECH LLC, ,D,Initial,L1B,D,,,,300369347
3566,IPC SYSTEMS INC,Computer Systems Design Services,D,Initial,L1A,D,,,,300383566
3723,BEHR HELLA SERVICE NA LLC, ,D,Continuing,L1A,D,,,,300383723
0502,SIEGWERK USA CO, ,D,Continuing,LZ,D,,,,300400502
1561,SEAPORT CANAVERAL CORP, ,D,Continuing,L1A,D,,,,300401561
7847,DIMENSIONAL FUND ADVISORS LP,Investment Advice,D,Continuing,L1B,D,,,,300447847
4462,EDF INC,"Electric Power Generation, Transmission and Distribution",D,Continuing,L1A,D,,,,300464462
6830,CAPITAL GRP COMPANIES GLOBAL, ,D,Continuing,L1A,D,,,,300476830
0328,RED BULL DISTRIBUTION COMPANY IN, ,D,Continuing,L1A,D,,,,300480328
9044,CRAWFORD TECHNOLOGIES USA INC, ,D,Continuing,L1A,D,,,,300519044
2607,NOVUS PARTNERS INC, ,D,Initial,L1A,D,,,,300522607
5544,LABATT USA OPERATING COMPANY LLC, ,D,Initial,L1A,D,,,,300535544
9839,HERRERA CAPITAL GROUP LLC, ,D,Initial,L1A,D,,,,300589839
7683,BEARINGPOINT CONSULTING INC, ,D,Initial,L1B,D,,,,300597683
4118,DOTMATICS INC, ,D,Continuing,L1A,D,,,,300634118
5713,MENLO SYSTEMS INC, ,D,Initial,L1A,D,,,,300635713
5552,CIPHERCLOUD INC,OTHER,D,Initial,L1A,D,,,,300645552
7153,HANSHE ORGA INTL CORP, ,D,Continuing,L1A,D,,,,300647153
3117,NORTHERN WAVE LLC, ,D,Initial,L1A,D,,,,300683117
3634,PCE INC, ,D,Continuing,L1A,D,,,,300683634
9254,XACOM INTERNATIONAL LLC, ,D,Continuing,L1A,D,,,,300689254
3950,TGH USA CORP, ,D,Continuing,L1A,D,,,,300693950
6826,AXIS CLINICALS LLC,Scientific Research and Development Services,D,Continuing,L1A,D,,,,300706826
6915,BELLISIO PARENT LLC, ,D,Initial,LZ,D,,,,300706915
1481,EVERBRIGHT FLOORING INC, ,D,Initial,L1A,D,,,,300711481
0946,SNP TECHNICAL SERVICES, ,D,Initial,L1A,D,,,,300720946
2585,EDIBLE ARRANGEMENTS INTL LLC, ,D,Continuing,L1A,D,,,,300722585
7324,IMAGINEA TECHNOLOGIES INC, ,D,Continuing,L1A,D,,,,300737324
9115,BILLABONG HOLDINGS USA INC, ,D,Continuing,LZ,D,,,,300749115
4253,GBMO LLC, ,D,Initial,L1A,D,,,,300754253
1613,NORTH TARRANT INFRASTRUCTURE LLC, ,D,Continuing,L1A,D,,,,300761613
2418,EZE SOFTWARE GROUP LLC, ,D,Continuing,LZ,D,,,,300762418
4936,YT LOGISTICS USA INC, ,D,Continuing,L1A,D,,,,300764936
7310,JIGSAW FOODS INC, ,D,Continuing,L1A,D,,,,300767310
4039,ASSETMARK FINANCIAL HOLDINGS INC, ,D,Initial,L1A,D,,,,300774039
4433,GT NEXUS INC FORMERLY GTNX INC, ,D,Initial,L1B,D,,,,300774433
4570,DIAPAZON USA LLC, ,D,Continuing,L1A,D,,,,300774570
0387,BITBAR INC, ,D,Initial,L1A,D,,,,300780387
3547,EASYKLEAN INC, ,D,Continuing,L1A,D,,,,300783547
8886,MEDIOS BRUTALES LLC, ,D,Continuing,L1A,D,,,,300788886
9051,PODSYSTEM CORPORATION, ,D,Continuing,L1A,D,,,,300789051
1218,MAZAV MANAGEMENT LLC, ,D,Continuing,L1A,D,,,,300791218
2674,BLU KOUZINA LLC, ,D,Continuing,L1A,D,,,,300792674
3001,SPOLETO USA LLC, ,D,Continuing,L1A,D,,,,300793001
6954,LE VOTE INTERNATIONAL LLC, ,D,Initial,L1A,D,,,,300796954
9061,COA 99 HUDSON LLC,Activities Related to Real Estate,D,Continuing,L1A,D,,,,300799061
9542,GIFTEDD SOLUTIONS INC, ,D,Initial,L1A,D,,,,300799542
1827,TRILLIUM SALES GROUP USA INC, ,D,Continuing,L1A,D,,,,300801827
1965,STELLAR ACCESSORIES LLC, ,D,Continuing,L1A,D,,,,300801965
3819,VALERUS FIELD SOLUTIONS LP, ,D,Continuing,L1A,D,,,,300803819
3926,PURUI USA INVESTMENTS LLC, ,D,Continuing,L1A,D,,,,300803926
5128,Q LINE AMERICA INC, ,D,Continuing,L1B,D,,,,300805128
5446,XLCPA INC, ,D,Continuing,L1A,D,,,,300805446
5689,FUTURE FOUNDATION NVISION INC, ,D,Initial,L1B,D,,,,300805689
9590,NEW VISION INTL INC, ,D,Initial,L1A,D,,,,300809590
0162,AURA LIGHT US INC, ,D,Initial,L1A,D,,,,300810162
0724,STYLIGHT INC,"All Other Professional, Scientific, and Technical Services",D,Continuing,L1A,D,,,,300810724
1136,EL TRIUNFO AMERICA LLC, ,D,Continuing,L1A,D,,,,300811136
1191,Q VENT USA LLC, ,D,Initial,L1A,D,,,,300811191
0397,I-69 DEVELOPMENT PARTNERS LLC,"Highway, Street, and Bridge Construction",D,Initial,L1A,D,,,,300820397
5013,BOSTON SEMI EQUIPMENT LLC, ,D,Continuing,L1A,D,,,,300825013
6100,GP NORTH AMERICA LLC, ,D,Continuing,L1A,D,,,,300826100
9277,GLEAM FUTURES LLC, ,D,Initial,L1A,D,,,,300829277
9900,TIRECHECK INC, ,D,Initial,L1A,D,,,,300829900
0102,AMERICA STERLING INC, ,D,Continuing,L1A,D,,,,300830102
0370,ENABIL USA INC, ,D,Continuing,L1A,D,,,,300830370
1006,HQC TOOLS LLC, ,D,Continuing,L1A,D,,,,300831006
2316,GENEWIZ LLC,OTHER,D,Initial,L1A,D,,,,300832316
3640,ZEUS ENTERPRISE INC, ,D,Initial,L1A,D,,,,300833640
6166,SECURITY SMART SHOP LLC, ,D,Continuing,L1A,D,,,,300836166
6283,AVIACOM LLC, ,D,Continuing,L1A,D,,,,300836283
6385,SHPINEL USA INC, ,D,Initial,L1A,D,,,,300836385
6448,TJ DEVELOPMENT INC, ,D,Continuing,L1A,D,,,,300836448
7107,NIRAKU USA INC, ,D,Continuing,L1A,D,,,,300837107
7380,PRECISE GLOBAL TRANSLATIONS INC, ,D,Continuing,L1A,D,,,,300837380
7632,COGNOSYS INC, ,D,Continuing,L1A,D,,,,300837632
8827,CAPRESSA CONSULTING GROUP LLC, ,D,Continuing,L1A,D,,,,300838827
9654,DVCOM LIMITED LIABILITY COMPANY, ,D,Continuing,L1A,D,,,,300839654
2149,AXON IVY INC, ,D,Continuing,L1A,D,,,,300842149
2222,M V L I INC, ,D,Initial,L1A,D,,,,300842222
2501,IJWT INC DBA THE GOOD FDN ACADEM, ,D,Initial,L1A,D,,,,300842501
3218,MUZIK EVENTS CORPORATION, ,D,Continuing,L1A,D,,,,300843218
3964,ABSTRACTA INC, ,D,Initial,L1A,D,,,,300843964
4303,SOFT CONSTRUCT LLC, ,D,Initial,L1A,D,,,,300844303
4722,CMX USA LLC, ,D,Initial,L1A,D,,,,300844722
5005,ALLIED DECCAN INC, ,D,Continuing,L1A,D,,,,300845005
2467,SUNNY TEXTILES INC, ,D,Initial,L1A,D,,,,300852467
3050,TAIPING-STARR HOLDINGS LLC, ,D,Continuing,L1A,D,,,,300853050
3989,LIFTMASTER AMERICAN & GLOBAL LLC, ,D,Initial,L1A,D,,,,300853989
4906,ANTSQUARE INC, ,D,Continuing,L1A,D,,,,300854906
6331,WE GO TO BRAZIL LLC, ,D,Continuing,L1A,D,,,,300856331
6568,AKELIUS REAL ESTATE MANAGEMENT L, ,D,Continuing,L1A,D,,,,300856568
6750,SUIT UP INC, ,D,Initial,L1A,D,,,,300856750
6799,ORANGE SEAL LLC, ,D,Continuing,L1A,D,,,,300856799
8532,SUERTKESA LLC, ,D,Initial,L1A,D,,,,300858532
9571,SOLAR CAMP TECHNOLOGIES INC, ,D,Continuing,L1A,D,,,,300859571
9615,DESWIK USA INC, ,D,Continuing,L1A,D,,,,300859615
9817,LUCKYLEO INC, ,D,Continuing,L1A,D,,,,300859817
0990,ALTERMARK LLC, ,D,Initial,L1A,D,,,,300860990
3377,IMUBIT INC, ,D,Initial,L1A,D,,,,300863377
5193,LIFE CORAL GABLES LLC, ,D,Initial,L1A,D,,,,300865193
5535,APESTER INC, ,D,Continuing,L1A,D,,,,300865535
7323,TANDELS USA LLC, ,D,Initial,L1A,D,,,,300867323
8282,AN HA TRADING USA LLC, ,D,Continuing,L1A,D,,,,300868282
8977,DONNA ITALIA USA INC, ,D,Continuing,L1A,D,,,,300868977
9531,EXCELLENCE LOGGING US INC, ,D,Initial,L1A,D,,,,300869531
1867,TPA HOME SERVICES LLC, ,D,Continuing,L1A,D,,,,300871867
2158,VENSYS ENERGY INC, ,D,Initial,L1A,D,,,,300872158
3185,GLOBYZ PHARMA LLC, ,D,Continuing,L1A,D,,,,300873185
4376,HIGOO SUPPLY LIMITED, ,D,Initial,L1A,D,,,,300874376
7081,ALPHA FASHION USA INC, ,D,Continuing,L1A,D,,,,300877081
7252,MSM ADVERTISING & LOGISTICS CORP, ,D,Initial,L1A,D,,,,300877252
7454,THARSTERN INC, ,D,Initial,L1B,D,,,,300877454
7920,ZERO1 SOLUTIONS LLC, ,D,Initial,L1A,D,,,,300877920
8113,WORTHIX CORP, ,D,Initial,L1A,D,,,,300878113
0015,STREETCHURROS INC, ,D,Continuing,L1A,D,,,,300880015
0079,LIAISON CAN/US LOGISTICS INC, ,D,Initial,L1A,D,,,,300880079
2177,ARTE BUNKERING LLC, ,D,Continuing,L1A,D,,,,300882177
2412,AROMA INTL INC, ,D,Initial,L1A,D,,,,300882412
3549,ALLSTAFF INC, ,D,Continuing,L1A,D,,,,300883549
3945,INTERTOLL USA INC, ,D,Initial,L1A,D,,,,300883945
4075,WESTLAND AUTO CTR LLC, ,D,Continuing,L1A,D,,,,300884075
4855,WORLD GLOBAL USA LLC, ,D,Continuing,L1A,D,,,,300884855
5075,PARANA GRANITOS OF USA LLC, ,D,Initial,L1A,D,,,,300885075
5374,BARINGA PARTNERS LP, ,D,Initial,L1B,D,,,,300885374
8133,WUTONGXUAN THE ANCIENT WORK OF A, ,D,Initial,L1A,D,,,,300888133
8469,QVANTEL USA INC, ,D,Initial,L1A,D,,,,300888469
8548,LIBERTY MARINE USA CORP, ,D,Initial,L1A,D,,,,300888548
8595,FAME & PARTNERS, ,D,Initial,L1A,D,,,,300888595
9111,JADE BEAUTY LLC, ,D,Continuing,L1A,D,,,,300889111
9362,DELASTEK USA CORP, ,D,Continuing,L1A,D,,,,300889362
9788,JOYALUKKAS JEWELRY ILLINOIS INC, ,D,Initial,L1A,D,,,,300889788
1798,VILARIM USA CORPORATION, ,D,Initial,L1A,D,,,,300891798
2595,DHPL INTERNATIONAL LLC, ,D,Initial,L1A,D,,,,300892595
2644,EXPAND EXECUTIVE SEARCH INC, ,D,Continuing,L1A,D,,,,300892644
4157,ROLLS SHADING SYSTEM LLC, ,D,Initial,L1A,D,,,,300894157
4291,TIANMEI AUTO INC, ,D,Continuing,L1A,D,,,,300894291
5356,SIGNIFAI INC, ,D,Initial,L1A,D,,,,300895356
5888,AVIATOR AIRFREIGHT INC, ,D,Initial,L1A,D,,,,300895888
2184,YUK LEUNG INTL INDUSTRIAL LTD, ,D,Initial,L1A,D,,,,300912184
4610,GLOBAL HOME DECOR INC, ,D,Initial,L1A,D,,,,300914610
4634,PETER TABLE & SEATING LLC, ,D,Continuing,L1A,D,,,,300914634
1627,OTTA LLC, ,D,Initial,L1A,D,,,,300921627
2288,NOA TECHNOLOGIES INC, ,D,Initial,L1A,D,,,,300922288
3931,BLEECKER & PRINCE LLC, ,D,Continuing,L1A,D,,,,300923931
0565,TECH TRENDS INC, ,D,Continuing,L1A,D,,,,300930565
4812,CONCESSIONS INC, ,D,Initial,L1A,D,,,,300934812
5226,KIMCO INVESTMENTS INC, ,D,Initial,L1A,D,,,,300935226
6738,INPLASVIN INC, ,D,Initial,L1A,D,,,,300936738
8088,QUANTUM FLOOR SYSTEMS LLC, ,D,Initial,L1A,D,,,,300938088
8719,INVERMAX USA LLC, ,D,Initial,L1A,D,,,,300938719
0298,CITRUS 7 LLC, ,D,Initial,L1A,D,,,,300940298
0394,KWIK COMMERCE INC, ,D,Initial,L1A,D,,,,300940394
1649,BLITZ FACIAL BAR INC, ,D,Initial,L1A,D,,,,300941649
2863,GDR USA INC, ,D,Continuing,L1B,D,,,,300942863
2914,JC HOME SOLUTIONS INC, ,D,Initial,L1A,D,,,,300942914
3141,MY ORGANIC ZONE LLC, ,D,Initial,L1A,D,,,,300943141
3178,DR MOJO INC, ,D,Continuing,L1A,D,,,,300943178
3214,US TECHS COMM CORPORATION USTC, ,D,Initial,L1A,D,,,,300943214
3364,FACE HIRED INC, ,D,Initial,L1A,D,,,,300943364
4169,MIKI GLOBAL INC, ,D,Initial,L1A,D,,,,300944169
4619,DINAMICS HEALTHCARE INC, ,D,Initial,L1A,D,,,,300944619
4672,US FULIN CORP, ,D,Initial,L1A,D,,,,300944672
4890,BEAD UNION INC, ,D,Continuing,L1A,D,,,,300944890
4949,FGA TECHNOLOGIES INC, ,D,Initial,L1A,D,,,,300944949
5686,FF2 LLC, ,D,Initial,L1A,D,,,,300945686
5929,ENGEMET MOBILE HEALTH & SOLNS IN, ,D,Initial,L1A,D,,,,300945929
6654,OVG REAL ESTATE USA HOLDING LLC, ,D,Initial,L1A,D,,,,300946654
6796,QAMCOM NORTH AMERICA INC, ,D,Initial,L1A,D,,,,300946796
6879,HUASHENG INTL INC, ,D,Initial,L1A,D,,,,300946879
7932,NORVIC SHIPPING USA INC, ,D,Initial,L1B,D,,,,300947932
8850,EAGLE DEVELOPMENT LLC, ,D,Initial,L1A,D,,,,300948850
8968,DE KEIZER UNITED STATES LLC, ,D,Initial,L1A,D,,,,300948968
9805,SHANGHAI MUDI FASHION CO LTD PAR, ,D,Initial,L1A,D,,,,300949805
9960,AMERICAN PACIFIC MEDIYOUNG LLC, ,D,Initial,L1A,D,,,,300949960
0696,AUTOGYRO USA INC, ,D,Initial,L1A,D,,,,300950696
1487,SPOTINST INC, ,D,Initial,L1A,D,,,,300951487
2125,TORCH DUBAO/MILLENIUM/RICK & DIN, ,D,Initial,L1A,D,,,,300952125
2146,J&J ENTERPRISES CONNECTION LLC, ,D,Initial,L1A,D,,,,300952146
2301,PAYLESS SPARES LLC, ,D,Initial,L1A,D,,,,300952301
3739,BMU INC, ,D,Initial,L1A,D,,,,300953739
3768,PE GEOMETRY INC, ,D,Initial,L1A,D,,,,300953768
4970,HEHE INVESTMENT INC, ,D,Initial,L1A,D,,,,300954970
5414,RED ROCK EXHIBITS, ,D,Initial,L1A,D,,,,300955414
6205,SIMPLY BUSINESS INC, ,D,Initial,L1A,D,,,,300956205
6298,ENVIREM ORGANICS LTD, ,D,Initial,L1A,D,,,,300956298
7043,BWOM INC, ,D,Initial,L1A,D,,,,300957043
7126,SAMPSON CONSTRUCITON USA INC, ,D,Initial,L1A,D,,,,300957126
8266,FEITIAN TECHNOLOGIES US INC, ,D,Initial,L1A,D,,,,300958266
8332,VMRAY INC, ,D,Initial,L1A,D,,,,300958332
8416,ADVANTAGE ASSET TRACKING INC, ,D,Initial,L1A,D,,,,300958416
9442,SDG CONSULTING US INC, ,D,Initial,L1A,D,,,,300959442
0405,GARNER DISTRIBUTED WORKFLOW LLC, ,D,Initial,L1A,D,,,,300960405
1173,MONEYMART MULTIMEDIA SERVICE LLC, ,D,Initial,L1A,D,,,,300961173
4941,NEL HYDROGEN INC, ,D,Initial,L1A,D,,,,300964941
6370,EDA AMERICA RETAIL MERCHANDISING, ,D,Initial,L1A,D,,,,300966370
6634,BEST TRAVEL USA INC, ,D,Initial,L1A,D,,,,300966634
6723,SERVER DENSITY INC, ,D,Initial,L1A,D,,,,300966723
7011,ATOMATION NET INC, ,D,Initial,L1A,D,,,,300967011
1077,U S ZHONG SHANG INC, ,D,Initial,L1A,D,,,,300971077
