"Number of Form N-400, Application for Naturalization",,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,
"July 1 - September 30, 2021",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 USCIS Field Office Location ,,, Applications by Category and Case Status ,,,,,,,,,,,
,,,Naturalization1,,,,Naturalization (Military)1,,,, Total ,,,
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Baltimore  , BAL ,"4,365","5,556",262,"18,992",59,64, D ,169,"4,424","5,620",263,"19,161"
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boston  , BOS ,"4,168","4,535",438,"13,303",23,39, D ,52,"4,191","4,574",442,"13,355"
, Lawrence , LAW ,"1,816","1,293",207,"6,626",15,25, D ,25,"1,831","1,318",209,"6,651"
 Michigan ,,,,,,,,,,,,,,
, Detroit  , DET ,"3,676","3,301",527,"14,237", D ,14, D ,24,"3,684","3,315",528,"14,261"
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Paul  , SPM ,"3,791","4,128",357,"18,885",33,34, D ,106,"3,824","4,162",363,"18,991"
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Kansas City  , KAN ,"1,035","1,068",82,"3,744",53,77, D ,109,"1,088","1,145",87,"3,853"
, St. Louis  , STL ,828,850,68,"3,606", D ,11, D ,21,834,861,69,"3,627"
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Helena  , HEL ,86,64, D ,210, D , D , -   , D ,88,72, D ,215
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Omaha  , OMA ,"1,353",953,204,"4,422",11,14, D ,30,"1,364",967,205,"4,452"
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Las Vegas  , LVG ,"1,885","2,875",223,"10,713",15,35, -   ,47,"1,900","2,910",223,"10,760"
, Reno  , REN ,262,579,21,"1,184", D , D , -   , D ,266,583,21,"1,188"
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Manchester  , MAN ,376,416,53,971, D , D , -   , D ,378,421,53,978
 New Jersey ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Mount Laurel , MTL ,"1,765","2,198",188,"9,195",11,16, D ,24,"1,776","2,214",190,"9,219"
, Newark  , NEW ,"7,371","9,569",976,"39,271",38,47, D ,88,"7,409","9,616",977,"39,359"
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albuquerque  , ABQ ,439,376,60,"1,386", D , D , D ,16,444,383,62,"1,402"
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albany  , ALB ,881,956,93,"3,435", D , D , D ,18,886,965,94,"3,453"
, Brooklyn , BNY ,"3,981","6,192",808,"20,502",20,27, D ,61,"4,001","6,219",812,"20,563"
, Buffalo  , BUF ,"1,740","1,636",340,"4,425",49,92, D ,145,"1,789","1,728",349,"4,570"
, Long Island , LNY ,"3,109","4,821",470,"17,134",17,26, D ,48,"3,126","4,847",472,"17,182"
, New York  , NYC ,"4,747","7,256","1,076","22,766",30,34, D ,98,"4,777","7,290","1,079","22,864"
, Queens , QNS ,"5,576","7,390",829,"31,023",39,55, D ,117,"5,615","7,445",833,"31,140"
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte  , CLT ,"1,867","2,227",263,"7,280", D ,30, D ,28,"1,874","2,257",264,"7,308"
, Raleigh , RAL ,"1,753",642,46,"6,213",86,185, D ,292,"1,839",827,49,"6,505"
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Cincinnati  , CIN ,758,677,83,"3,142", D , D , -   ,29,766,685,83,"3,171"
, Cleveland  , CLE ,"1,170","1,008",192,"4,258", D ,15, -   ,10,"1,174","1,023",192,"4,268"
, Columbus , CLM ,"1,647","1,548",119,"5,449",10,16, D ,28,"1,657","1,564",120,"5,477"
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Oklahoma City  , OKC ,"1,131","1,523",284,"4,056",18,28, -   ,47,"1,149","1,551",284,"4,103"
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POO ,"1,782","2,669",167,"10,274", D ,13, -   ,17,"1,787","2,682",167,"10,291"
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Philadelphia , PHI ,"4,770","7,065",599,"19,943",32,55, D ,74,"4,802","7,120",602,"20,017"
, Pittsburgh  , PIT ,689,618,46,"2,441", D , D , D ,24,690,621,47,"2,465"
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Providence  , PRO ,662,946,115,"2,342", D , D , -   ,12,667,952,115,"2,354"
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHL ,605,629,45,"2,378",38,94, D ,137,643,723,46,"2,515"
, Greer , GRR ,438,247,67,"2,390", D , D , D , D ,440,251,68,"2,397"
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Memphis  , MEM ,555,597,66,"1,941", D ,18, -   ,17,560,615,66,"1,958"
, Nashville , NTN ,"1,305",541,105,"5,386",18,23, D ,74,"1,323",564,107,"5,460"
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dallas  , DAL ,"6,723","9,376",806,"32,798",41,56, D ,131,"6,764","9,432",808,"32,929"
, El Paso  , ELP ,"1,133","1,231",152,"4,424",39,78, D ,140,"1,172","1,309",158,"4,564"
, Harlingen  , HLG ,793,725,57,"2,792", D , D , D ,10,797,732,59,"2,802"
, Houston  , HOU ,"7,094","9,127",622,"41,511",44,57, D ,96,"7,138","9,184",624,"41,607"
, San Antonio  , SNA ,"3,706","4,535",336,"13,164",135,424,16,230,"3,841","4,959",352,"13,394"
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Salt Lake City  , SLC ,"1,182","1,442",145,"5,317",13,14, D ,30,"1,195","1,456",146,"5,347"
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Albans  , STA ,170,137,23,555, -   , D , -   , -   ,170,138,23,555
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Norfolk  , NOR ,"1,144","1,070",127,"4,856",242,205,14,652,"1,386","1,275",141,"5,508"
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Seattle  , SEA ,"4,012","3,622",381,"23,570",86,154, D ,298,"4,098","3,776",387,"23,868"
, Spokane  , SPO ,256,49,43,"1,259", D , D , -   , D ,260,57,43,"1,266"
, Yakima , YAK ,329,318,34,"1,600", D , D , -   , D ,331,319,34,"1,604"
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHS , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Milwaukee  , MIL ,"1,181","1,366",112,"4,013", D , D , -   ,21,"1,187","1,371",112,"4,034"
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Agana , AGA ,221,155,12,944, D ,71, D ,36,222,226,17,980
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte Amalie , CHA ,58,78,16,264, -   , D , -   , D ,58,83,16,267
, Christiansted  , CHR ,37, -   , -   ,165, -   , -   , -   , D ,37, -   , -   ,166
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, San Juan  , SAJ ,315,278,77,"1,034", D , D , -   , D ,316,280,77,"1,036"
,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,
D  Represents data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Reference(s):,,,,,,,,,,,,,,
"1  ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" Total includes both general and military naturalization.",,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
4  The number of applications that were denied or withdrawn during the reporting period.,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,,
3) These counts do not include international offices.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services",,,,,,,,,,,,,,
"Performance Reporting Tool (PRT), queried 11/2021, TRK 8241.",,,,,,,,,,,,,,
